timestamp,category,prompt_label,global_index,tokens,hit_eos,prompt_tokens,latency_sec,throughput_tok_sec,avg_power_watts,median_power_watts,min_power_watts,max_power_watts,total_energy_joules,energy_source,energy_j_counter,energy_j_sampled,joules_per_token,temp_start_c,temp_end_c,temp_max_c,sm_clock_mean_mhz,sm_clock_min_mhz,mem_clock_mean_mhz,throttle_reasons,n_power_samples,effective_sample_hz
2026-09-04T00:43:48.124357,FP16 Baseline (matched harness),Physics_trial4,11,250,False,49,6.297111,39.7,491.98,501.34,387.35,569.14,2914.207,nvml_counter,2914.207,3098.5279,11.656828,65,65,65,2836.8,2812,13801.0,0,629,99.9
2026-09-04T00:43:54.687147,FP16 Baseline (matched harness),Code_trial4,12,250,False,49,6.454563,38.73,491.94,500.99,389.19,570.07,2917.676,nvml_counter,2917.676,3174.5059,11.670704,65,65,65,2837.4,2812,13801.0,0,646,100.1
2026-09-04T00:44:01.100184,FP16 Baseline (matched harness),Poem_trial5,13,250,False,48,6.302482,39.67,490.66,502.0,386.88,570.27,2914.563,nvml_counter,2914.563,3089.6171,11.658252,65,65,65,2836.8,2812,13801.0,4,630,100.0
2026-09-04T00:44:05.170147,FP16 Baseline (matched harness),Physics_trial5,14,250,False,49,6.304179,39.66,491.49,499.82,387.06,568.26,2923.934,nvml_counter,2923.934,3094.6896,11.695736,65,65,65,2836.8,2812,13801.0,4,630,99.9
2026-09-04T00:44:11.570878,FP16 Baseline (matched harness),Code_trial5,15,250,False,49,6.292337,39.73,491.9,501.69,384.39,568.07,2868.829,nvml_counter,2868.829,3090.9929,11.475316,65,65,65,2836.6,2812,13801.0,0,629,100.0
2026-09-04T00:44:18.101262,FP16 Baseline (matched harness),Poem_trial6,16,250,False,48,6.420569,38.94,491.49,500.64,383.84,568.78,2898.812,nvml_counter,2898.812,3152.1441,11.595248,65,65,65,2836.5,2812,13801.0,4,642,100.0
2026-09-04T00:44:24.593731,FP16 Baseline (matched harness),Physics_trial6,17,250,False,49,6.38063,39.18,491.23,500.8,387.8,569.16,2908.308,nvml_counter,2908.308,3133.6619,11.633232,65,65,65,2836.4,2812,13801.0,4,639,100.1
2026-09-04T00:44:31.033565,FP16 Baseline (matched harness),Code_trial6,18,250,False,49,6.326462,39.52,490.91,498.9,387.0,569.57,2904.007,nvml_counter,2904.007,3106.1862,11.616028,61,65,65,2835.1,2805,13801.0,4,632,99.9
2026-09-04T00:44:35.102946,FP16 Baseline (matched harness),Poem_trial7,19,250,False,48,6.268287,39.88,489.57,499.33,387.27,568.82,2902.058,nvml_counter,2902.058,3068.2797,11.608232,65,65,65,2834.7,2805,13801.0,4,627,100.0
2026-09-04T00:44:41.531287,FP16 Baseline (matched harness),Physics_trial7,20,250,False,49,6.313038,39.6,490.92,500.43,386.58,568.77,2913.843,nvml_counter,2913.843,3096.3582,11.655372,65,65,65,2835.8,2812,13801.0,4,631,100.0
2026-09-04T00:44:48.019357,FP16 Baseline (matched harness),Code_trial7,21,250,False,49,6.37653,39.21,491.43,500.68,384.14,569.43,2913.33,nvml_counter,2913.33,3130.9452,11.65332,65,65,65,2834.6,2812,13801.0,0,638,100.1
2026-09-04T00:44:54.604293,FP16 Baseline (matched harness),Poem_trial8,22,250,False,48,6.472035,38.63,486.21,493.31,387.51,564.76,2879.454,nvml_counter,2879.454,3145.6499,11.517816,65,65,65,2834.8,2805,13801.0,0,648,100.1
2026-09-04T00:45:01.037632,FP16 Baseline (matched harness),Physics_trial8,23,250,False,49,6.325249,39.52,490.14,499.95,393.56,568.57,2894.035,nvml_counter,2894.035,3097.968,11.57614,65,65,65,2835.6,2812,13801.0,0,633,100.1
2026-09-04T00:45:05.211364,FP16 Baseline (matched harness),Code_trial8,24,250,False,49,6.353976,39.35,488.21,497.6,377.29,566.57,2936.078,nvml_counter,2936.078,3098.2226,11.744312,65,65,65,2836.7,2812,13801.0,4,635,99.9
2026-09-04T00:45:11.661116,FP16 Baseline (matched harness),Poem_trial9,25,250,False,48,6.335491,39.46,488.45,499.27,380.82,567.46,2904.095,nvml_counter,2904.095,3090.8746,11.61638,65,65,65,2836.3,2812,13801.0,4,633,99.9
2026-09-04T00:45:18.273167,FP16 Baseline (matched harness),Physics_trial9,26,250,False,49,6.498519,38.47,489.27,498.28,386.03,567.6,2900.157,nvml_counter,2900.157,3174.9993,11.600628,65,65,65,2836.7,2812,13801.0,4,649,99.9
2026-09-04T00:45:24.806335,FP16 Baseline (matched harness),Code_trial9,27,250,False,49,6.417175,38.96,488.49,498.57,385.66,566.1,2893.04,nvml_counter,2893.04,3130.3383,11.57216,65,65,65,2836.5,2812,13801.0,0,641,99.9
2026-09-04T00:45:31.281242,FP16 Baseline (matched harness),Poem_trial10,28,250,False,48,6.36132,39.3,485.43,495.06,375.46,565.91,2888.875,nvml_counter,2888.875,3086.4095,11.5555,65,65,65,2835.1,2805,13801.0,4,636,100.0
2026-09-04T00:45:35.362211,FP16 Baseline (matched harness),Physics_trial10,29,250,False,49,6.331393,39.49,487.51,496.53,381.46,567.0,2887.335,nvml_counter,2887.335,3084.3623,11.54934,65,65,65,2837.5,2812,13801.0,0,633,100.0
2026-09-04T00:45:41.826730,FP16 Baseline (matched harness),Code_trial10,30,250,False,49,6.352394,39.36,490.12,499.33,381.11,568.71,2950.759,nvml_counter,2950.759,3110.4637,11.803036,65,65,65,2837.4,2812,13801.0,4,635,100.0
2026-09-04T15:48:58.313593,FP16 Baseline (matched harness),Poem_trial1,1,250,False,48,6.362257,39.29,491.46,501.2,391.29,570.45,2917.0,nvml_counter,2917.0,3121.4101,11.668,64,64,64,2837.2,2812,13801.0,4,636,100.0
2026-09-04T15:49:04.823690,FP16 Baseline (matched harness),Physics_trial1,2,250,False,49,6.390575,39.12,491.19,502.07,390.0,570.06,2935.832,nvml_counter,2935.832,3133.8456,11.743328,64,64,64,2836.0,2805,13801.0,4,639,100.0
2026-09-04T15:49:11.372997,FP16 Baseline (matched harness),Code_trial1,3,250,False,49,6.441906,38.81,493.11,501.74,388.62,570.25,2884.28,nvml_counter,2884.28,3173.2675,11.53712,64,64,64,2837.4,2805,13801.0,4,644,100.0
2026-09-04T15:49:17.891826,FP16 Baseline (matched harness),Poem_trial2,4,250,False,48,6.409558,39.0,491.64,501.48,392.32,570.11,2929.697,nvml_counter,2929.697,3148.0176,11.718788,60,64,64,2836.5,2812,13801.0,4,641,100.0
2026-09-04T15:49:21.714924,FP16 Baseline (matched harness),Physics_trial2,5,250,False,49,6.38895,39.13,492.53,502.41,388.79,570.98,2941.314,nvml_counter,2941.314,3146.0123,11.765256,59,64,64,2836.0,2812,13801.0,4,639,100.0
2026-09-04T15:49:28.200518,FP16 Baseline (matched harness),Code_trial2,6,250,False,49,6.37859,39.19,492.67,500.86,384.52,569.39,2885.592,nvml_counter,2885.592,3139.0474,11.542368,59,64,64,2838.2,2820,13801.0,4,638,100.0
2026-09-04T15:49:34.706971,FP16 Baseline (matched harness),Poem_trial3,7,250,False,48,6.400274,39.06,492.47,501.57,389.32,570.73,2934.509,nvml_counter,2934.509,3151.0344,11.738036,59,64,64,2837.7,2812,13801.0,4,640,100.0
2026-09-04T15:49:41.261666,FP16 Baseline (matched harness),Physics_trial3,8,250,False,49,6.444814,38.79,492.75,503.55,389.7,569.32,2937.136,nvml_counter,2937.136,3172.3542,11.748544,64,64,64,2837.5,2812,13801.0,4,644,99.9
2026-09-04T15:49:47.780604,FP16 Baseline (matched harness),Code_trial3,9,250,False,49,6.409008,39.01,492.22,502.46,384.99,570.36,2875.343,nvml_counter,2875.343,3151.4191,11.501372,64,64,64,2838.4,2820,13801.0,4,641,100.0
2026-09-04T15:49:51.565797,FP16 Baseline (matched harness),Poem_trial4,10,250,False,48,6.368214,39.26,492.27,502.25,387.93,570.39,2931.853,nvml_counter,2931.853,3134.4994,11.727412,64,64,64,2837.0,2812,13801.0,4,637,100.0
2026-09-04T15:49:58.064956,FP16 Baseline (matched harness),Physics_trial4,11,250,False,49,6.390712,39.12,492.48,501.17,387.44,569.95,2933.766,nvml_counter,2933.766,3147.4204,11.735064,64,64,64,2839.6,2812,13801.0,4,639,100.0
2026-09-04T15:50:04.563485,FP16 Baseline (matched harness),Code_trial4,12,250,False,49,6.389153,39.13,492.19,502.43,383.16,569.77,2871.206,nvml_counter,2871.206,3139.8053,11.484824,65,64,65,2838.5,2812,13801.0,4,639,100.0
2026-09-04T15:50:11.109303,FP16 Baseline (matched harness),Poem_trial5,13,250,False,48,6.437237,38.84,491.82,500.72,386.92,569.79,2909.334,nvml_counter,2909.334,3163.7294,11.637336,64,64,64,2837.2,2812,13801.0,0,644,100.0
2026-09-04T15:50:17.642695,FP16 Baseline (matched harness),Physics_trial5,14,250,False,49,6.423755,38.92,492.02,502.71,389.45,570.12,2938.245,nvml_counter,2938.245,3156.9256,11.75298,64,64,64,2837.2,2812,13801.0,4,642,99.9
2026-09-04T15:50:21.476110,FP16 Baseline (matched harness),Code_trial5,15,250,False,49,6.426662,38.9,489.78,499.81,380.21,569.95,2930.862,nvml_counter,2930.862,3145.08,11.723448,64,64,64,2839.8,2820,13801.0,4,643,100.1
